Date and time,Energy per inverter|Primo 6.0-1 208-240 (1) (# 1),Energy per inverter|Primo 8.2-1 208-240 (# 2),Energy per inverter per kWp|Primo 6.0-1 208-240 (1) (# 1),Energy per inverter per kWp|Primo 8.2-1 208-240 (# 2),Total system
[dd.MM.yyyy],[kWh],[kWh],[kWh/kWp],[kWh/kWp],[kWh]
01.01.2019,5.15,4.1,,,
01.02.2019,2.22,1.73,,,
,1.53,1.09,,,
,0.8,18.98,,,
,17.53,32.18,,,
,11.14,14.41,,,
,18.29,31.94,,,
,15.75,24.88,,,
,19.11,32.57,,,
,5.67,0,,,
,0.81,0,,,
,3.12,0,,,
,3.13,0,,,
,15.36,0,,,
,16.33,20.67,,,
,3.35,2.57,,,
,13.5,20.48,,,
,11.59,16.02,,,
,9.94,12.18,,,
,18.13,28.39,,,
,18.7,28.56,,,
,2,1.53,,,
,22.36,36.78,,,
,15.59,17.87,,,
,13.78,19.82,,,
,21.2,21.84,,,
,21.87,35.55,,,
,12,15.84,,,
,19.15,24.31,,,
,23.36,37.08,,,
31.01.2019,6.94,5.71,1.01,0.7,12.65
01.02.2019,6.13,6.41,0.89,0.78,12.54
02.02.2019,6.99,7.29,1.01,0.89,14.28
03.02.2019,14.21,19.99,2.06,2.44,34.19
04.02.2019,16.02,22.38,2.32,2.73,38.39
05.02.2019,5.1,3.98,0.74,0.48,9.07
06.02.2019,5.58,4.37,0.81,0.53,9.95
07.02.2019,19,24.86,2.75,3.03,43.86
08.02.2019,25.63,35.38,3.72,4.31,61.02
09.02.2019,10.2,8.6,1.48,1.05,18.79
10.02.2019,5.56,4.35,0.81,0.53,9.92
11.02.2019,4.99,3.86,0.72,0.47,8.85
12.02.2019,26.44,38.38,3.83,4.68,64.82
13.02.2019,19.64,22.6,2.85,2.76,42.23
14.02.2019,18.57,21.11,2.69,2.57,39.68
15.02.2019,7.47,5.99,1.08,0.73,13.46
16.02.2019,5.11,4.04,0.74,0.49,9.15
17.02.2019,27.87,39.58,4.04,4.83,67.45
18.02.2019,22.42,25.65,3.25,3.13,48.07
19.02.2019,3.17,2.45,0.46,0.3,5.61
20.02.2019,28.72,38.32,4.16,4.67,67.05
21.02.2019,20.16,23.61,2.92,2.88,43.77
22.02.2019,6.19,4.89,0.9,0.6,11.08
23.02.2019,28.45,36.59,4.12,4.46,65.03
24.02.2019,29.97,39.58,4.34,4.83,69.55
25.02.2019,27.94,37.31,4.05,4.55,65.25
26.02.2019,7.43,6.11,1.08,0.74,13.53
27.02.2019,4.03,3.15,0.58,0.38,7.17
28.02.2019,5.43,3.05,0.79,0.37,8.48
01.03.2019,10.25,8.23,1.49,1,18.49
02.03.2019,5.13,4.04,0.74,0.49,9.17
03.03.2019,10.74,12.51,1.56,1.53,23.24
04.03.2019,21.58,21.25,3.13,2.59,42.83
05.03.2019,32.53,41.24,4.71,5.03,73.77
06.03.2019,33,41.87,4.78,5.11,74.87
07.03.2019,21.2,20.38,3.07,2.49,41.59
08.03.2019,11.96,9.82,1.73,1.2,21.78
09.03.2019,32.65,40.77,4.73,4.97,73.43
10.03.2019,7.87,6.24,1.14,0.76,14.11
11.03.2019,16.91,15.1,2.45,1.84,32.01
12.03.2019,3.56,2.73,0.52,0.33,6.29
13.03.2019,30.02,35.37,4.35,4.31,65.39
14.03.2019,32.39,34.77,4.69,4.24,67.15
15.03.2019,36.22,42.62,5.25,5.2,78.83
16.03.2019,34.67,39.77,5.03,4.85,74.44
17.03.2019,34.19,39.53,4.96,4.82,73.72
18.03.2019,33.23,37.97,4.82,4.63,71.19
19.03.2019,34.17,37.44,4.95,4.57,71.61
20.03.2019,31.52,36.67,4.57,4.47,68.19
21.03.2019,35.91,38.81,5.2,4.73,74.72
22.03.2019,32.06,32.95,4.65,4.02,65.01
23.03.2019,23.34,24.41,3.38,2.98,47.75
24.03.2019,23.92,21.98,3.47,2.68,45.91
25.03.2019,20.9,20.32,3.03,2.48,41.22
26.03.2019,35.07,37.96,5.08,4.63,73.03
27.03.2019,29.78,31.6,4.32,3.85,61.38
28.03.2019,25.89,24.8,3.75,3.02,50.7
29.03.2019,10.24,8.32,1.48,1.02,18.56
30.03.2019,13.15,11.12,1.91,1.36,24.28
31.03.2019,40.62,42.27,5.89,5.16,82.89
01.04.2019,31.79,33.99,4.61,4.14,65.77
02.04.2019,38.07,39.29,5.52,4.79,77.36
03.04.2019,25.23,23.06,3.66,2.81,48.29
04.04.2019,29.15,30.22,4.22,3.68,59.37
05.04.2019,35.3,33.97,5.12,4.14,69.26
06.04.2019,19.03,18.31,2.76,2.23,37.34
07.04.2019,19.93,17.16,2.89,2.09,37.1
08.04.2019,35.27,35.88,5.11,4.38,71.16
09.04.2019,37.07,36.02,5.37,4.39,73.09
10.04.2019,31.94,29.33,4.63,3.58,61.26
11.04.2019,42.18,42.82,6.11,5.22,85
12.04.2019,35.94,32.39,5.21,3.95,68.33
13.04.2019,2.05,1.54,0.3,0.19,3.59
14.04.2019,42.13,41.11,6.11,5.01,83.24
15.04.2019,40.29,38.93,5.84,4.75,79.23
16.04.2019,22.8,19.07,3.3,2.33,41.87
17.04.2019,19.68,18.11,2.85,2.21,37.79
18.04.2019,37.01,34.82,5.36,4.25,71.83
19.04.2019,41.63,39.66,6.03,4.84,81.29
20.04.2019,41.52,39.36,6.02,4.8,80.89
21.04.2019,38.16,35.59,5.53,4.34,73.74
22.04.2019,12.41,9.69,1.8,1.18,22.1
23.04.2019,13.68,11.36,1.98,1.38,25.03
24.04.2019,9.07,7.27,1.31,0.89,16.34
25.04.2019,40.96,37.85,5.94,4.62,78.82
26.04.2019,41.32,37.71,5.99,4.6,79.03
27.04.2019,39.5,36.87,5.72,4.5,76.37
28.04.2019,37.91,34.05,5.49,4.15,71.96
29.04.2019,14.9,11.49,2.16,1.4,26.39
30.04.2019,7.7,6,1.12,0.73,13.7
01.05.2019,10.34,8.29,1.5,1.01,18.63
02.05.2019,23,19.65,3.33,2.4,42.65
03.05.2019,9.02,7.23,1.31,0.88,16.25
04.05.2019,23.96,22.17,3.47,2.7,46.13
05.05.2019,40.19,35.44,5.82,4.32,75.63
06.05.2019,34.36,31.3,4.98,3.82,65.66
07.05.2019,31.59,28.14,4.58,3.43,59.74
08.05.2019,22.02,18.62,3.19,2.27,40.64
09.05.2019,22.1,17.98,3.2,2.19,40.08
10.05.2019,33.85,29.2,4.91,3.56,63.05
11.05.2019,14.11,11.44,2.04,1.4,25.55
12.05.2019,39.96,34.11,5.79,4.16,74.07
13.05.2019,41.95,36.34,6.08,4.43,78.29
14.05.2019,39.73,34.93,5.76,4.26,74.65
15.05.2019,42.46,36.46,6.15,4.45,78.92
16.05.2019,40.6,34.65,5.88,4.23,75.26
17.05.2019,32.15,26.99,4.66,3.29,59.14
18.05.2019,9.24,7.77,1.34,0.95,17.02
19.05.2019,44.81,37.57,6.49,4.58,82.38
20.05.2019,8.87,7.08,1.29,0.86,15.95
21.05.2019,34.81,31.8,5.04,3.88,66.61
22.05.2019,20.31,16.75,2.94,2.04,37.06
23.05.2019,25.4,22.05,3.68,2.69,47.45
24.05.2019,23.63,19.45,3.42,2.37,43.08
25.05.2019,33.12,27.95,4.8,3.41,61.07
26.05.2019,34.67,28.35,5.03,3.46,63.02
27.05.2019,26.89,21.33,3.9,2.6,48.21
28.05.2019,25.98,20.38,3.77,2.48,46.35
29.05.2019,9.02,7.27,1.31,0.89,16.29
30.05.2019,44.6,36.69,6.46,4.47,81.3
31.05.2019,36.44,31.31,5.28,3.82,67.75
01.06.2019,30.62,23.57,4.44,2.87,54.18
02.06.2019,37.84,32.42,5.48,3.95,70.26
03.06.2019,28.7,24.81,4.16,3.03,53.51
04.06.2019,28.86,22.86,4.18,2.79,51.73
05.06.2019,30.49,24.02,4.42,2.93,54.51
06.06.2019,16.11,13.86,2.34,1.69,29.97
07.06.2019,36.14,30.31,5.24,3.7,66.46
08.06.2019,43.01,34.72,6.23,4.23,77.73
09.06.2019,24.88,24.18,3.61,2.95,49.06
10.06.2019,44.98,36.8,6.52,4.49,81.78
11.06.2019,41.54,35.03,6.02,4.27,76.58
12.06.2019,42.13,34.83,6.11,4.25,76.96
13.06.2019,44.38,35.66,6.43,4.35,80.04
14.06.2019,34.79,30.07,5.04,3.67,64.86
15.06.2019,28.65,24.29,4.15,2.96,52.95
16.06.2019,27.28,21.56,3.95,2.63,48.84
17.06.2019,37.72,31.22,5.47,3.81,68.95
18.06.2019,37.47,30.34,5.43,3.7,67.8
19.06.2019,39.3,31.77,5.7,3.87,71.07
20.06.2019,38.56,30.4,5.59,3.71,68.96
21.06.2019,41.38,34.31,6,4.18,75.7
22.06.2019,30.35,25.05,4.4,3.05,55.4
23.06.2019,10.35,8.52,1.5,1.04,18.87
24.06.2019,44.5,35.54,6.45,4.33,80.04
25.06.2019,40.17,33.18,5.82,4.05,73.34
26.06.2019,43.36,35,6.28,4.27,78.36
27.06.2019,40.82,33.08,5.92,4.03,73.9
28.06.2019,41.47,33.74,6.01,4.11,75.21
29.06.2019,40.19,32.5,5.82,3.96,72.68
30.06.2019,35.01,29.55,5.07,3.6,64.57
01.07.2019,38.88,31.48,5.64,3.84,70.36
02.07.2019,39.16,33.11,5.68,4.04,72.27
03.07.2019,36.75,29.1,5.33,3.55,65.84
04.07.2019,31.89,27.69,4.62,3.38,59.57
05.07.2019,35.06,28.31,5.08,3.45,63.36
06.07.2019,28.75,23.02,4.17,2.81,51.76
07.07.2019,35.73,29.36,5.18,3.58,65.09
08.07.2019,33.3,27.73,4.83,3.38,61.03
09.07.2019,39.33,32.16,5.7,3.92,71.49
10.07.2019,39.74,32.55,5.76,3.97,72.28
11.07.2019,40.6,34.39,5.88,4.19,75
12.07.2019,42.22,34.81,6.12,4.24,77.03
13.07.2019,41.39,34.35,6,4.19,75.74
14.07.2019,31.47,27.68,4.56,3.38,59.16
15.07.2019,36.46,31.1,5.28,3.79,67.56
16.07.2019,37.28,31.06,5.4,3.79,68.33
17.07.2019,38.8,33.05,5.62,4.03,71.85
18.07.2019,40.54,34.39,5.88,4.19,74.94
19.07.2019,40.83,34.65,5.92,4.23,75.48
20.07.2019,40.88,34.71,5.92,4.23,75.59
21.07.2019,39.8,33.8,5.77,4.12,73.6
22.07.2019,24.76,22.58,3.59,2.75,47.34
23.07.2019,40.55,34.41,5.88,4.2,74.96
24.07.2019,41.33,35.28,5.99,4.3,76.61
25.07.2019,40.6,35.04,5.88,4.27,75.64
26.07.2019,38.38,33.04,5.56,4.03,71.42
27.07.2019,38.17,33.04,5.53,4.03,71.22
28.07.2019,37.09,32.06,5.37,3.91,69.15
29.07.2019,32.77,28.95,4.75,3.53,61.72
30.07.2019,31.36,27.42,4.54,3.34,58.78
31.07.2019,38.1,33.54,5.52,4.09,71.64
01.08.2019,29.99,26.83,4.35,3.27,56.82
02.08.2019,24.97,21.81,3.62,2.66,46.77
03.08.2019,15.78,13.07,2.29,1.59,28.85
04.08.2019,29.12,26.29,4.22,3.21,55.41
05.08.2019,31.41,27.38,4.55,3.34,58.79
06.08.2019,31.81,28.18,4.61,3.44,59.99
07.08.2019,36.54,32.5,5.3,3.96,69.04
08.08.2019,18.11,15.59,2.62,1.9,33.7
09.08.2019,19.21,17.85,2.78,2.18,37.06
10.08.2019,33.99,30.5,4.93,3.72,64.49
11.08.2019,36.4,33.16,5.28,4.04,69.56
12.08.2019,37.32,34.03,5.41,4.15,71.35
13.08.2019,18.71,16.21,2.71,1.98,34.92
14.08.2019,35.72,33.04,5.18,4.03,68.76
15.08.2019,35.88,32.76,5.2,4,68.64
16.08.2019,36.96,34.35,5.36,4.19,71.3
17.08.2019,35.06,33.15,5.08,4.04,68.21
18.08.2019,24.43,23.88,3.54,2.91,48.32
19.08.2019,36.23,33.9,5.25,4.13,70.13
20.08.2019,35.07,32.45,5.08,3.96,67.52
21.08.2019,35.15,33.05,5.09,4.03,68.2
22.08.2019,26.77,23.59,3.88,2.88,50.36
23.08.2019,28.7,28.68,4.16,3.5,57.38
24.08.2019,23.63,22.62,3.42,2.76,46.25
25.08.2019,26.85,27.21,3.89,3.32,54.06
26.08.2019,35.13,33.85,5.09,4.13,68.98
27.08.2019,11.69,9.84,1.69,1.2,21.53
28.08.2019,34.27,33.08,4.97,4.03,67.35
29.08.2019,30.07,29.03,4.36,3.54,59.1
30.08.2019,13.32,12.47,1.93,1.52,25.79
31.08.2019,22.14,20.43,3.21,2.49,42.57
01.09.2019,32.64,32.65,4.73,3.98,65.29
02.09.2019,31.87,31.78,4.62,3.88,63.66
03.09.2019,34.19,34.42,4.96,4.2,68.61
04.09.2019,32.11,32.3,4.65,3.94,64.41
05.09.2019,33.52,34.09,4.86,4.16,67.61
06.09.2019,33.18,33.9,4.81,4.13,67.08
07.09.2019,32.58,33.18,4.72,4.05,65.76
08.09.2019,31.78,32.12,4.61,3.92,63.91
09.09.2019,33.17,34.88,4.81,4.25,68.04
10.09.2019,30,32.01,4.35,3.9,62.01
11.09.2019,31.92,33.99,4.63,4.14,65.9
12.09.2019,31.23,31.86,4.53,3.89,63.09
13.09.2019,21.89,22.13,3.17,2.7,44.02
14.09.2019,30.35,32.44,4.4,3.96,62.79
15.09.2019,30.8,32.63,4.46,3.98,63.43
16.09.2019,28.5,30.1,4.13,3.67,58.6
17.09.2019,30.49,33.49,4.42,4.08,63.98
18.09.2019,31.36,34.74,4.55,4.24,66.1
19.09.2019,25.4,27.92,3.68,3.4,53.32
20.09.2019,13.68,11.98,1.98,1.46,25.66
21.09.2019,16.71,17.75,2.42,2.16,34.47
22.09.2019,14.78,13.25,2.14,1.62,28.03
23.09.2019,21.02,20.49,3.05,2.5,41.51
24.09.2019,19.86,20.77,2.88,2.53,40.63
25.09.2019,29.48,33.91,4.27,4.14,63.39
26.09.2019,26.36,29.51,3.82,3.6,55.88
27.09.2019,29.42,34.7,4.26,4.23,64.12
28.09.2019,21.72,22.96,3.15,2.8,44.68
29.09.2019,15.83,17.05,2.29,2.08,32.89
30.09.2019,22.37,23.47,3.24,2.86,45.84
01.10.2019,25.42,27.73,3.68,3.38,53.15
02.10.2019,27.81,33.72,4.03,4.11,61.53
03.10.2019,21.15,24.88,3.06,3.03,46.03
04.10.2019,22.48,25.52,3.26,3.11,48
05.10.2019,19.26,21.85,2.79,2.66,41.11
06.10.2019,14.13,12.5,2.05,1.52,26.63
07.10.2019,29.93,37.58,4.34,4.58,67.5
08.10.2019,29.09,37.11,4.22,4.53,66.2
09.10.2019,17.58,19.27,2.55,2.35,36.85
10.10.2019,18.27,21.49,2.65,2.62,39.76
11.10.2019,30.74,40.08,4.45,4.89,70.81
12.10.2019,29.59,39.17,4.29,4.78,68.76
13.10.2019,27.36,36,3.97,4.39,63.37
14.10.2019,21.33,24.05,3.09,2.93,45.38
15.10.2019,19.28,21.07,2.79,2.57,40.35
16.10.2019,27.61,36.86,4,4.5,64.47
17.10.2019,26.67,36.42,3.86,4.44,63.08
18.10.2019,26.1,36.39,3.78,4.44,62.5
19.10.2019,25.66,34.96,3.72,4.26,60.62
20.10.2019,25.59,33.43,3.71,4.08,59.03
21.10.2019,26.48,37.02,3.84,4.51,63.5
22.10.2019,25.69,36.37,3.72,4.44,62.05
23.10.2019,24.14,30.99,3.5,3.78,55.13
24.10.2019,1.75,1.33,0.25,0.16,3.08
25.10.2019,1.95,1.49,0.28,0.18,3.45
26.10.2019,23.77,33.87,3.44,4.13,57.64
27.10.2019,24.68,35.84,3.58,4.37,60.52
28.10.2019,5.83,4.65,0.84,0.57,10.48
29.10.2019,3.81,3,0.55,0.37,6.81
30.10.2019,3.77,2.97,0.55,0.36,6.74
31.10.2019,25.52,38.51,3.7,4.7,64.03
01.11.2019,24.82,37.84,3.6,4.62,62.66
02.11.2019,23.89,36.1,3.46,4.4,59.99
03.11.2019,22.94,34.51,3.32,4.21,57.45
04.11.2019,22.18,31.38,3.21,3.83,53.56
05.11.2019,21.67,29.94,3.14,3.65,51.61
06.11.2019,4.33,3.44,0.63,0.42,7.77
07.11.2019,4.65,3.82,0.67,0.47,8.47
08.11.2019,18.25,25.14,2.65,3.07,43.39
09.11.2019,21.34,33.78,3.09,4.12,55.12
10.11.2019,19.43,27.69,2.82,3.38,47.13
11.11.2019,2.84,2.26,0.41,0.28,5.1
12.11.2019,22.97,37.17,3.33,4.53,60.14
13.11.2019,21.98,36.25,3.19,4.42,58.23
14.11.2019,20.89,34.17,3.03,4.17,55.06
15.11.2019,20.76,33.92,3.01,4.14,54.68
16.11.2019,20.09,31.03,2.91,3.78,51.12
17.11.2019,18.9,30.67,2.74,3.74,49.57
18.11.2019,19.09,32.11,2.77,3.92,51.2
19.11.2019,19.12,31.92,2.77,3.89,51.05
20.11.2019,10.33,12,1.5,1.46,22.33
21.11.2019,3.95,3.12,0.57,0.38,7.06
22.11.2019,4.09,3.23,0.59,0.39,7.32
23.11.2019,19.18,31.8,2.78,3.88,50.98
24.11.2019,19.27,33.37,2.79,4.07,52.64
25.11.2019,18.33,28.37,2.66,3.46,46.7
26.11.2019,11.54,14.37,1.67,1.75,25.91
27.11.2019,17.41,23.97,2.52,2.92,41.37
28.11.2019,2.1,1.59,0.3,0.19,3.69
29.11.2019,1.82,1.37,0.26,0.17,3.19
30.11.2019,18.18,30.93,2.63,3.77,49.11
01.12.2019,18.87,33.86,2.73,4.13,52.73
02.12.2019,14.18,17.88,2.05,2.18,32.06
03.12.2019,16.81,26.71,2.44,3.26,43.52
04.12.2019,14.03,19.23,2.03,2.34,33.25
05.12.2019,16.2,29.1,2.35,3.55,45.3
06.12.2019,17.19,27.52,2.49,3.36,44.71
07.12.2019,16.23,25.63,2.35,3.13,41.86
08.12.2019,9.8,10.85,1.42,1.32,20.65
09.12.2019,6.54,5.8,0.95,0.71,12.34
10.12.2019,14.29,24.61,2.07,3,38.91
11.12.2019,17.47,30.6,2.53,3.73,48.06
12.12.2019,17.12,30.56,2.48,3.73,47.68
13.12.2019,14.62,24.22,2.12,2.95,38.85
14.12.2019,6.66,10.82,0.97,1.32,17.48
15.12.2019,2.74,2.14,0.4,0.26,4.87
16.12.2019,3.06,2.43,0.44,0.3,5.49
17.12.2019,17.16,31.09,2.49,3.79,48.25
18.12.2019,16.93,31.03,2.45,3.78,47.96
19.12.2019,16.57,29.9,2.4,3.65,46.47
20.12.2019,5.8,7.39,0.84,0.9,13.19
21.12.2019,3.37,2.65,0.49,0.32,6.02
22.12.2019,10.43,17.52,1.51,2.14,27.95
23.12.2019,15.49,22.5,2.24,2.74,37.99
24.12.2019,15.46,24.82,2.24,3.03,40.28
25.12.2019,15.81,28.76,2.29,3.51,44.57
26.12.2019,12.04,15.77,1.74,1.92,27.8
27.12.2019,5.35,4.6,0.77,0.56,9.95
28.12.2019,1.24,0.91,0.18,0.11,2.14
29.12.2019,14.3,23.19,2.07,2.83,37.5
30.12.2019,17.95,33.11,2.6,4.04,51.06
31.12.2019,17.87,31.26,2.59,3.81,49.14
01.01.2020,12.99,18.73,1.88,2.28,31.72
02.01.2020,12.25,14.78,1.78,1.8,27.04
03.01.2020,14.21,23.29,2.06,2.84,37.5
04.01.2020,17.67,31.74,2.56,3.87,49.41
05.01.2020,17.76,32.34,2.57,3.94,50.1
06.01.2020,17.54,31.22,2.54,3.81,48.76
07.01.2020,17.77,31.75,2.58,3.87,49.52
08.01.2020,17.22,27.78,2.5,3.39,44.99
09.01.2020,8.35,9.93,1.21,1.21,18.29
10.01.2020,7.52,7.97,1.09,0.97,15.49
11.01.2020,12.74,19.38,1.85,2.36,32.12
12.01.2020,17.94,31.46,2.6,3.84,49.41
13.01.2020,3.99,3.14,0.58,0.38,7.13
14.01.2020,14.63,23.67,2.12,2.89,38.3
15.01.2020,12.26,14.27,1.78,1.74,26.53
16.01.2020,6.25,5.09,0.91,0.62,11.33
17.01.2020,2.57,1.98,0.37,0.24,4.55
18.01.2020,20.41,35.22,2.96,4.29,55.63
19.01.2020,13.61,20.47,1.97,2.5,34.09
20.01.2020,20.23,34.15,2.93,4.16,54.38
21.01.2020,10.3,9.19,1.49,1.12,19.49
22.01.2020,2.07,1.56,0.3,0.19,3.63
23.01.2020,16.62,26.71,2.41,3.26,43.33
24.01.2020,21.13,35.04,3.06,4.27,56.17
25.01.2020,17.63,26.84,2.56,3.27,44.47
26.01.2020,20.23,32.66,2.93,3.98,52.88
27.01.2020,19.8,31.74,2.87,3.87,51.54
28.01.2020,1.71,1.31,0.25,0.16,3.03
29.01.2020,8.66,7.17,1.26,0.87,15.84
30.01.2020,7.86,7.09,1.14,0.87,14.95
31.01.2020,21.96,33.71,3.18,4.11,55.67
